species id,identifier,fast attacks,special attacks
71,Victreebel,"Acid, Razor Leaf","Sludge Bomb, Leaf Blade, Solar Beam"
72,Tentacool,"Bubble, Poison Sting","Bubble Beam, Water Pulse, Wrap"
73,Tentacruel,"Acid, Poison Jab","Blizzard, Sludge Wave, Hydro Pump"
74,Geodude,"Tackle, Rock Throw","Rock Slide, Dig, Rock Tomb"
75,Graveler,"ÊMud Shot, Rock Throw","Rock Slide, Dig, Stone Edge"
76,Golem,"Mud Shot, Rock Throw","ÊAncient Power, Earthquake, Stone Edge"
77,Ponyta,"Tackle, Ember","Flame Wheel, Fire Blast, Flame Charge"
78,Rapidash,"Ember, Low Kick","Heat Wave, Fire Blast, Drill Run"
79,Slowpoke,"Water Gun, Confusion","Psychic, Water Pulse, Psyshock"
80,Slowbro,"Water Gun, Confusion","Psychic, Water Pulse, Ice Beam"
81,Magnemite,"Spark, Thunder Shock","Magnet Bomb, Discharge, Thunderbolt"
82,Magneton,"ÊSpark, Thunder Shock","Magnet Bomb, Discharge, Flash Cannon"
83,Farfetch'd,"Fury Cutter, Cut","Air Cutter, Aerial Ace, Leaf Blade"
84,Doduo,"Peck, Quick Attack","Swift, Aerial Ace, Drill Peck"
85,Dodrio,"Steel Wing, Feint Attack","Drill Peck, Aerial Ace, Fury Cutter"
86,Seel,"Water Gun, Ice Shard","Aqua Jet, Icy Wind, Aqua Tail"
87,Dewgong,"Frost Breath, Ice Shard","Aqua Jet, Icy Wind, Blizzard"
88,Grimer,"ÊMud Slap, Acid","Sludge, Sludge Bomb, Mud Bomb"
89,Muk,"Poison Jab, Acid","Sludge Wave, Sludge Bomb, Dark Pulse"
90,Shellder,"Tackle, Ice Shard","Bubble Beam, Icy Wind, Water Pulse"
91,Cloyster,"Frost Breath, Ice Shard","Icy Wind, Aqua Jet, Hydro Pump"
92,Gastly,"Lick, Sucker Punch","Dark Pulse, Sludge Bomb, Ominous Wind"
93,Haunter,"Lick, Sucker Punch","ÊDark Pulse, Sludge Bomb, Shadow Ball"
94,Gengar,"Shadow Claw, Sucker Punch","Dark Pulse, Sludge Wave, Shadow Ball"
95,Onix,"Tackle, Rock Throw","Rock Slide, Stone Edge, Iron Head"
96,Drowzee,"Pound, Confusion","Psychic, Psyshock, Psybeam"
97,Hypno,"Zen Headbutt, Confusion","Psychic, Psyshock, Shadow Ball"
98,Krabby,"Bubble, Mud Shot","Vice Grip, Water Pulse, Bubble Beam"
99,Kingler,"Metal Claw, Mud Shot","Vice Grip, Water Pulse, X-Scissor"
100,Voltorb,"Tackle, Spark","Thunderbolt, Discharge, Signal Beam"
101,Electrode,"Tackle, Spark","Thunderbolt, Discharge, Hyper Beam"
102,Exeggcute,Confusion,"Psychic, Seed Bomb, Ancient Power"
103,Exeggutor,"Confusion, Zen Headbutt","Psychic, Seed Bomb, Solar Beam"
104,Cubone,"Rock Smash, Mud Slap","Bone Club, Dig, Bulldoze"
105,Marowak,"Rock Smash, Mud Slap","Bone Club, Dig, Earthquake"
106,Hitmonlee,"Low Kick, Rock Smash","Low Sweep, Stone Edge, Stomp"
107,Hitmonchan,"Bullet Punch, Rock Smash","Fire Punch, Ice Punch, Thunder Punch, Brick Break"
108,Lickitung,"Lick, Zen Headbutt","Stomp, Power Whip, Hyper Beam"
109,Koffing,"Tackle, Acid","Dark Pulse, Sludge, Sludge Bomb"
110,Weezing,"Tackle, Acid","Dark Pulse, Sludge Bomb, Shadow Ball"
111,Rhyhorn,"Rock Smash, Mud Slap","Stomp, Bulldoze, Horn Attack"
112,Rhydon,"Rock Smash, Mud Slap","Earthquake, Stone Edge, Megahorn"
113,Chansey,"Pound, Zen Headbutt","Dazzling Gleam, Psybeam, Psychic"
114,Tangela,Vine Whip,"Sludge Bomb, Solar Beam, Power Whip"
115,Kangaskhan,"Low Kick, Mud Slap","Earthquake, Brick Break, Stomp"
116,Horsea,"Water Gun, Bubble","Bubble Beam, Dragon Pulse, Flash Cannon"
117,Seadra,"Water Gun, Dragon Breath","Dragon Pulse, Blizzard, Hydro Pump"
118,Goldeen,"Mud Shot, Peck","Aqua Tail, Horn Attack, Water Pulse"
119,Seaking,"Poison Jab, Peck","Drill Run, Megahorn, Icy Wind"
120,Staryu,"Water Gun, Quick Attack","Bubble Beam, Power Gem, Swift"
121,Starmie,"Water Gun, Quick Attack","Hydro Pump, Power Gem, Psybeam"
122,Mr. Mime,"Confusion, Zen Headbutt","Shadow Ball, Psybeam, Psychic"
123,Scyther,"Steel Wing, Fury Cutter","Bug Buzz, X-Scissor, Night Slash"
124,Jynx,"Pound, Frost Breath","Psyshock, Ice Punch, Draining Kiss"
125,Electabuzz,"Low Kick, Thunder Shock","Thunderbolt, Thunder, Thunder Punch"
126,Magmar,"Ember, Karate Chop","Flamethrower, Fire Blast, Fire Punch"
127,Pinsir,"Fury Cutter, Rock Smash","Submission, Vice Grip, X-Scissor"
128,Tauros,"Tackle, Zen Headbutt","Earthquake, Iron Head, Horn Attack"
129,Magikarp,Splash,Struggle
130,Gyarados,"Bite, Dragon Breath","Twister, Hydro Pump, Dragon Pulse"
131,Lapras,"Frost Breath, Ice Shard","Blizzard, Dragon Pulse, Ice Beam"
132,Ditto,Pound,Struggle
133,Eevee,"Tackle, Quick Attack","Body Slam, Dig, Swift"
134,Vaporeon,Water Gun,"Aqua Tail, Hydro Pump, Water Pulse"
135,Jolteon,Thunder Shock,"Discharge, Thunderbolt, Thunder"
136,Flareon,Ember,"Flamethrower, Fire Blast, Heat Wave"
137,Porygon,"Tackle, Quick Attack","Discharge, Psybeam, Signal Beam"
138,Omanyte,"Water Gun, Mud Shot","Ancient Power, Brine, Rock Tomb"
139,Omastar,"Water Gun, Rock Throw","Ancient Power, Hydro Pump, Rock Slide"
140,Kabuto,"Scratch, Mud Shot","ÊAqua Jet, Ancient Power, Rock Tomb"
141,Kabutops,"Fury Cutter, Mud Shot","Ancient Power, Water Pulse, Stone Edge"
142,Aerodactyl,"Bite, Steel Wing","Ancient Power, Iron Head, Hyper Beam"
143,Snorlax,"Lick, Zen Headbutt","Body Slam, Earthquake, Hyper Beam"
144,Articuno,Frost Breath,"Blizzard, Ice Beam, Icy Wind"
145,Zapdos,Thunder Shock,"Discharge, Thunderbolt, Thunder"
146,Moltres,Ember,"Flamethrower, Fire Blast, Heat Wave"
147,Dragon,Dragon Breath,"Aqua Tail, Twister, Wrap"
148,Dragonair,Dragon Breath,"Aqua Tail, Dragon Pulse, Wrap"
149,Dragonite,"Dragon Breath, Steel Wing","Dragon Claw, Dragon Pulse, Hyper Beam"
150,Mewtwo,"Confusion, Psycho Cut","Hyper Beam, Psychic, Shadow Ball"
151,Mew,Pound,"Dragon Pulse, Earthquake, Fire Blast, Hyper Beam, Hurricane, Moonblast, Psychic, Solar Beam"
