name,level,exp
Wartortle,74,2794732
Wartortle,94,6421744
Wartortle,15,19822
Wartortle,35,281570
Wartortle,55,1127923
Wartortle,75,2912408
Wartortle,95,6888432
Wartortle,16,24343
Wartortle,36,307135
Wartortle,56,1191806
Wartortle,76,3033573
Wartortle,96,7520770
Wartortle,17,29508
Wartortle,37,334203
Wartortle,57,1258066
Wartortle,77,3158338
Wartortle,97,8445263
Wartortle,18,35359
Wartortle,38,362819
Wartortle,58,1326749
Wartortle,78,3286833
Wartortle,98,9920482
Wartortle,19,41941
Wartortle,39,393024
Wartortle,59,1397900
Wartortle,79,3419212
Wartortle,99,12521022
Wartortle,20,49296
Wartortle,40,424863
Wartortle,60,1471565
Wartortle,80,3555658
Wartortle,100,17667106
Blastoise,1,0
Blastoise,21,84391
Blastoise,41,673143
Blastoise,61,2272979
Blastoise,81,5428276
Blastoise,2,185
Blastoise,22,97650
Blastoise,42,724887
Blastoise,62,2388748
Blastoise,82,5641679
Blastoise,3,265
Blastoise,23,112234
Blastoise,43,779220
Blastoise,63,2508417
Blastoise,83,5862335
Blastoise,4,472
Blastoise,24,128205
Blastoise,44,836205
Blastoise,64,2632056
Blastoise,84,6090935
Blastoise,5,868
Blastoise,25,145626
Blastoise,45,895906
Blastoise,65,2759738
Blastoise,85,6328392
Blastoise,6,1516
Blastoise,26,164561
Blastoise,46,958388
Blastoise,66,2891539
Blastoise,86,6575940
Blastoise,7,2480
Blastoise,27,185072
Blastoise,47,1023713
Blastoise,67,3027534
Blastoise,87,6835281
Blastoise,8,3822
Blastoise,28,207223
Blastoise,48,1091945
Blastoise,68,3167804
Blastoise,88,7108806
Blastoise,9,5606
Blastoise,29,231076
Blastoise,49,1163150
Blastoise,69,3312431
Blastoise,89,7399951
Blastoise,10,7894
Blastoise,30,256696
Blastoise,50,1237390
Blastoise,70,3461502
Blastoise,90,7713766
Blastoise,11,10750
Blastoise,31,284145
Blastoise,51,1314731
Blastoise,71,3615108
Blastoise,91,8057868
Blastoise,12,14237
Blastoise,32,313486
Blastoise,52,1395237
Blastoise,72,3773346
Blastoise,92,8444058
Blastoise,13,18416
Blastoise,33,344783
Blastoise,53,1478971
Blastoise,73,3936323
Blastoise,93,8891202
Blastoise,14,23353
Blastoise,34,378098
Blastoise,54,1566001
Blastoise,74,4104153
Blastoise,94,9430533
Blastoise,15,29109
Blastoise,35,413495
Blastoise,55,1656390
Blastoise,75,4276963
Blastoise,95,10115879
Blastoise,16,35748
Blastoise,36,451038
Blastoise,56,1750204
Blastoise,76,4454898
Blastoise,96,11044488
Blastoise,17,43333
Blastoise,37,490788
Blastoise,57,1847510
Blastoise,77,4638119
Blastoise,97,12402135
Blastoise,18,51927
Blastoise,38,532811
Blastoise,58,1948373
Blastoise,78,4826819
Blastoise,98,14568541
Blastoise,19,61592
Blastoise,39,577169
Blastoise,59,2052860
Blastoise,79,5021220
Blastoise,99,18387516
Blastoise,20,72392
Blastoise,40,623925
Blastoise,60,2161040
Blastoise,80,5221595
Blastoise,100,25944702
Caterpie,1,0
Caterpie,21,21298
Caterpie,41,169888
Caterpie,61,573656
Caterpie,81,1369993
Caterpie,2,46
Caterpie,22,24645
Caterpie,42,182947
Caterpie,62,602874
Caterpie,82,1423852
Caterpie,3,66
Caterpie,23,28325
Caterpie,43,196660
Caterpie,63,633076
Caterpie,83,1479541
Caterpie,4,119
Caterpie,24,32356
Caterpie,44,211042
Caterpie,64,664280
Caterpie,84,1537236
Caterpie,5,219
Caterpie,25,36753
Caterpie,45,226109
Caterpie,65,696505
Caterpie,85,1597165
Caterpie,6,382
Caterpie,26,41532
Caterpie,46,241878
Caterpie,66,729769
Caterpie,86,1659642
Caterpie,7,626
Caterpie,27,46708
Caterpie,47,258365
Caterpie,67,764092
Caterpie,87,1725094
Caterpie,8,964
Caterpie,28,52299
Caterpie,48,275586
Caterpie,68,799493
Caterpie,88,1794127
Caterpie,9,1415
Caterpie,29,58319
Caterpie,49,293557
Caterpie,69,835994
Caterpie,89,1867606
Caterpie,10,1992
Caterpie,30,64785
Caterpie,50,312293
Caterpie,70,873617
Caterpie,90,1946807
Caterpie,11,2713
Caterpie,31,71712
Caterpie,51,331813
Caterpie,71,912384
Caterpie,91,2033652
Caterpie,12,3593
Caterpie,32,79118
Caterpie,52,352131
Caterpie,72,952320
Caterpie,92,2131119
Caterpie,13,4648
Caterpie,33,87016
Caterpie,53,373264
Caterpie,73,993452
Caterpie,93,2243970
Caterpie,14,5893
Caterpie,34,95424
Caterpie,54,395228
Caterpie,74,1035810
Caterpie,94,2380087
Caterpie,15,7346
Caterpie,35,104358
Caterpie,55,418041
Caterpie,75,1079424
Caterpie,95,2553055
Caterpie,16,9022
Caterpie,36,113833
Caterpie,56,441718
Caterpie,76,1124331
Caterpie,96,2787418
Caterpie,17,10936
Caterpie,37,123865
Caterpie,57,466276
Caterpie,77,1170573
Caterpie,97,3130062
Caterpie,18,13105
Caterpie,38,134471
Caterpie,58,491732
Caterpie,78,1218197
Caterpie,98,3676822
Caterpie,19,15544
Caterpie,39,145666
Caterpie,59,518102
Caterpie,79,1267260
Caterpie,99,4640658
Caterpie,20,18270
Caterpie,40,157466
Caterpie,60,545405
Caterpie,80,1317831
Caterpie,100,6547948
Metapod,1,0
Metapod,21,28934
Metapod,41,230792
Metapod,61,779307
Metapod,81,1861123
Metapod,2,63
Metapod,22,33480
Metapod,42,248532
Metapod,62,818999
Metapod,82,1934290
Metapod,3,91
Metapod,23,38480
Metapod,43,267161
Metapod,63,860028
Metapod,83,2009943
Metapod,4,161
Metapod,24,43956
Metapod,44,286699
Metapod,64,902419
Metapod,84,2088320
Metapod,5,297
Metapod,25,49929
Metapod,45,307168
Metapod,65,946196
Metapod,85,2169734
Metapod,6,520
Metapod,26,56420
Metapod,46,328590
Metapod,66,991384
Metapod,86,2254608
Metapod,7,850
Metapod,27,63453
Metapod,47,350987
Metapod,67,1038011
Metapod,87,2343525
Metapod,8,1310
Metapod,28,71047
Metapod,48,374381
Metapod,68,1086104
Metapod,88,2437305
Metapod,9,1922
Metapod,29,79226
Metapod,49,398794
Metapod,69,1135690
Metapod,89,2537126
Metapod,10,2706
Metapod,30,88010
Metapod,50,424248
Metapod,70,1186800
Metapod,90,2644720
Metapod,11,3685
Metapod,31,97421
Metapod,51,450765
Metapod,71,1239465
Metapod,91,2762697
Metapod,12,4881
Metapod,32,107481
Metapod,52,478366
Metapod,72,1293718
Metapod,92,2895105
Metapod,13,6314
Metapod,33,118211
Metapod,53,507076
Metapod,73,1349596
Metapod,93,3048412
Metapod,14,8006
Metapod,34,129633
Metapod,54,536914
Metapod,74,1407138
Metapod,94,3233325
Metapod,15,9980
Metapod,35,141769
Metapod,55,567905
Metapod,75,1466387
Metapod,95,3468301
Metapod,16,12256
Metapod,36,154641
Metapod,56,600070
Metapod,76,1527393
Metapod,96,3786681
Metapod,17,14857
Metapod,37,168270
Metapod,57,633432
Metapod,77,1590212
Metapod,97,4252160
Metapod,18,17803
Metapod,38,182678
Metapod,58,668013
Metapod,78,1654909
Metapod,98,4994928
Metapod,19,21117
Metapod,39,197886
Metapod,59,703837
Metapod,79,1721561
Metapod,99,6304291
Metapod,20,24820
Metapod,40,213917
Metapod,60,740928
Metapod,80,1790261
Metapod,100,8895326
Butterfree,1,0
Butterfree,21,64298
Butterfree,41,512871
Butterfree,61,1731794
Butterfree,81,4135829
Butterfree,2,140
Butterfree,22,74400
Butterfree,42,552295
Butterfree,62,1819999
Butterfree,82,4298422
Butterfree,3,202
Butterfree,23,85511
Butterfree,43,593691
Butterfree,63,1911174
Butterfree,83,4466541
Butterfree,4,359
Butterfree,24,97680
Butterfree,44,637108
Butterfree,64,2005376
Butterfree,84,4640712
Butterfree,5,661
Butterfree,25,110953
Butterfree,45,682595
Butterfree,65,2102657
Butterfree,85,4821632
Butterfree,6,1155
Butterfree,26,125379
Butterfree,46,730200
Butterfree,66,2203077
Butterfree,86,5010240
Butterfree,7,1889
Butterfree,27,141007
Butterfree,47,779971
Butterfree,67,2306693
Butterfree,87,5207833
Butterfree,8,2912
Butterfree,28,157884
Butterfree,48,831958
Butterfree,68,2413565
Butterfree,88,5416233
Butterfree,9,4271
Butterfree,29,176058
Butterfree,49,886209
Butterfree,69,2523757
Butterfree,89,5638058
Butterfree,10,6015
Butterfree,30,195578
Butterfree,50,942774
Butterfree,70,2637335
Butterfree,90,5877155
Butterfree,11,8191
Butterfree,31,216491
Butterfree,51,1001700
Butterfree,71,2754368
Butterfree,91,6139328
Butterfree,12,10847
Butterfree,32,238846
Butterfree,52,1063037
Butterfree,72,2874930
Butterfree,92,6433568
Butterfree,13,14031
Butterfree,33,262691
Butterfree,53,1126835
Butterfree,73,2999103
Butterfree,93,6774249
Butterfree,14,17793
Butterfree,34,288074
Butterfree,54,1193143
Butterfree,74,3126973
Butterfree,94,7185168
Butterfree,15,22178
Butterfree,35,315044
Butterfree,55,1262011
Butterfree,75,3258638
Butterfree,95,7707337
Butterfree,16,27237
Butterfree,36,343648
Butterfree,56,1333489
Butterfree,76,3394208
Butterfree,96,8414848
Butterfree,17,33015
Butterfree,37,373934
Butterfree,57,1407626
Butterfree,77,3533805
Butterfree,97,9449246
Butterfree,18,39563
Butterfree,38,405951
Butterfree,58,1484474
Butterfree,78,3677576
Butterfree,98,11099841
Butterfree,19,46927
Butterfree,39,439748
Butterfree,59,1564084
Butterfree,79,3825692
Butterfree,99,14009536
Butterfree,20,55156
Butterfree,40,475371
Butterfree,60,1646506
Butterfree,80,3978358
Butterfree,100,19767392
Weedle,1,0
Weedle,21,20896
Weedle,41,166683
Weedle,61,562833
Weedle,81,1344144
Weedle,2,45
Weedle,22,24180
Weedle,42,179495
Weedle,62,591499
Weedle,82,1396987
Weedle,3,65
Weedle,23,27791
Weedle,43,192949
Weedle,63,621131
Weedle,83,1451626
Weedle,4,116
Weedle,24,31746
Weedle,44,207060
Weedle,64,651747
Weedle,84,1508231
Weedle,5,214
Weedle,25,36059
Weedle,45,221843
Weedle,65,683363
